event_id,event name,date,event summary,Key topic 1,Key topic 2,Key topic 3,location,event_text
e36,Annual Cybersecurity Hackathon 2024,2024-12-03,An exclusive event bringing together industry leaders to discuss the future of design.,Deep Learning,Computer Vision,Augmented Reality,"Winnipeg, Canada","Annual Cybersecurity Hackathon 2024. An exclusive event bringing together industry leaders to discuss the future of design. Topics: Deep Learning Computer Vision Augmented Reality. Location: Winnipeg, Canada. Date: 2024-12-03"
e37,Education Forum,2024-11-08,A collaborative platform for professionals to share insights on transforming finance.,Augmented Reality,Data Analytics,Machine Learning,"Vancouver, Canada","Education Forum. A collaborative platform for professionals to share insights on transforming finance. Topics: Augmented Reality Data Analytics Machine Learning. Location: Vancouver, Canada. Date: 2024-11-08"
e38,Future of Data Science Expo 2024,2024-08-05,A collaborative platform for professionals to share insights on transforming education.,Digital Marketing,Ethical AI,MLOps,"Winnipeg, Canada","Future of Data Science Expo 2024. A collaborative platform for professionals to share insights on transforming education. Topics: Digital Marketing Ethical AI MLOps. Location: Winnipeg, Canada. Date: 2024-08-05"
e39,Finance Expo 2024,2024-11-09,Join experts and thought leaders to explore cutting-edge developments in education.,Digital Marketing,Entrepreneurship,Augmented Reality,"Ottawa, Canada","Finance Expo 2024. Join experts and thought leaders to explore cutting-edge developments in education. Topics: Digital Marketing Entrepreneurship Augmented Reality. Location: Ottawa, Canada. Date: 2024-11-09"
e40,Innovation Meetup 2024,2024-08-13,An exclusive event bringing together industry leaders to discuss the future of healthcare.,Data Analytics,Metaverse,Sustainability,"Montreal, Canada","Innovation Meetup 2024. An exclusive event bringing together industry leaders to discuss the future of healthcare. Topics: Data Analytics Metaverse Sustainability. Location: Montreal, Canada. Date: 2024-08-13"
e41,AI 2024,2024-12-27,An exclusive event bringing together industry leaders to discuss the future of sustainability.,Fintech,Sustainability,Deep Learning,"Saskatoon, Canada","AI 2024. An exclusive event bringing together industry leaders to discuss the future of sustainability. Topics: Fintech Sustainability Deep Learning. Location: Saskatoon, Canada. Date: 2024-12-27"
e42,Digital Tech Hackathon,2024-07-13,The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape.,Metaverse,Entrepreneurship,UX Design,"Quebec City, Canada","Digital Tech Hackathon. The definitive event for anyone looking to stay ahead in the rapidly evolving innovation landscape. Topics: Metaverse Entrepreneurship UX Design. Location: Quebec City, Canada. Date: 2024-07-13"
e43,Finance 2024,2024-09-05,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Deep Learning,Green Tech,IoT,"Quebec City, Canada","Finance 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape. Topics: Deep Learning Green Tech IoT. Location: Quebec City, Canada. Date: 2024-09-05"
e44,Digital Data Science Conference,2024-03-10,Join experts and thought leaders to explore cutting-edge developments in blockchain.,Sustainability,UX Design,Fintech,"Ottawa, Canada","Digital Data Science Conference. Join experts and thought leaders to explore cutting-edge developments in blockchain. Topics: Sustainability UX Design Fintech. Location: Ottawa, Canada. Date: 2024-03-10"
e45,Digital Tech Conference,2024-02-11,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Augmented Reality,NFTs,Deep Learning,"Saskatoon, Canada","Digital Tech Conference. A premier gathering focused on the latest advancements in blockchain technologies and innovations. Topics: Augmented Reality NFTs Deep Learning. Location: Saskatoon, Canada. Date: 2024-02-11"
e46,Future of Data Science Expo 2024,2024-03-19,Join experts and thought leaders to explore cutting-edge developments in education.,Blockchain,Edge Computing,DevOps,"Vancouver, Canada","Future of Data Science Expo 2024. Join experts and thought leaders to explore cutting-edge developments in education. Topics: Blockchain Edge Computing DevOps. Location: Vancouver, Canada. Date: 2024-03-19"
e47,Cybersecurity 2024,2024-10-23,An exclusive event bringing together industry leaders to discuss the future of blockchain.,Cloud Computing,DevOps,Edge Computing,"Saskatoon, Canada","Cybersecurity 2024. An exclusive event bringing together industry leaders to discuss the future of blockchain. Topics: Cloud Computing DevOps Edge Computing. Location: Saskatoon, Canada. Date: 2024-10-23"
e48,Next-Gen Sustainability Forum,2024-01-22,A collaborative platform for professionals to share insights on transforming healthcare.,Entrepreneurship,Cloud Computing,Healthtech,"Edmonton, Canada","Next-Gen Sustainability Forum. A collaborative platform for professionals to share insights on transforming healthcare. Topics: Entrepreneurship Cloud Computing Healthtech. Location: Edmonton, Canada. Date: 2024-01-22"
e49,Innovation 2024,2024-11-21,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,5G Technology,Future of Work,Remote Work,"Quebec City, Canada","Innovation 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape. Topics: 5G Technology Future of Work Remote Work. Location: Quebec City, Canada. Date: 2024-11-21"
e50,Advanced Healthcare Workshop 2024,2024-10-30,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,Sustainability,Cybersecurity,Deep Learning,"Winnipeg, Canada","Advanced Healthcare Workshop 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape. Topics: Sustainability Cybersecurity Deep Learning. Location: Winnipeg, Canada. Date: 2024-10-30"
e51,International Education Workshop,2024-06-15,Join experts and thought leaders to explore cutting-edge developments in cybersecurity.,Ethical AI,Machine Learning,Digital Marketing,"Calgary, Canada","International Education Workshop. Join experts and thought leaders to explore cutting-edge developments in cybersecurity. Topics: Ethical AI Machine Learning Digital Marketing. Location: Calgary, Canada. Date: 2024-06-15"
e52,Innovation 2024,2024-02-13,A collaborative platform for professionals to share insights on transforming education.,Edtech,Deep Learning,IoT,"Ottawa, Canada","Innovation 2024. A collaborative platform for professionals to share insights on transforming education. Topics: Edtech Deep Learning IoT. Location: Ottawa, Canada. Date: 2024-02-13"
e53,Modern Innovation Workshop,2024-04-23,The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape.,Quantum Computing,Healthtech,Ethical AI,"Edmonton, Canada","Modern Innovation Workshop. The definitive event for anyone looking to stay ahead in the rapidly evolving sustainability landscape. Topics: Quantum Computing Healthtech Ethical AI. Location: Edmonton, Canada. Date: 2024-04-23"
e54,Digital Cybersecurity Meetup,2024-06-29,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,5G Technology,Cryptocurrency,NFTs,"Calgary, Canada","Digital Cybersecurity Meetup. A premier gathering focused on the latest advancements in blockchain technologies and innovations. Topics: 5G Technology Cryptocurrency NFTs. Location: Calgary, Canada. Date: 2024-06-29"
e55,Advanced Innovation Meetup 2024,2024-09-04,Join experts and thought leaders to explore cutting-edge developments in blockchain.,Machine Learning,5G Technology,Big Data,"Ottawa, Canada","Advanced Innovation Meetup 2024. Join experts and thought leaders to explore cutting-edge developments in blockchain. Topics: Machine Learning 5G Technology Big Data. Location: Ottawa, Canada. Date: 2024-09-04"
e56,Sustainability Meetup 2024,2024-01-24,Join experts and thought leaders to explore cutting-edge developments in ai.,Future of Work,Edtech,Cybersecurity,"Montreal, Canada","Sustainability Meetup 2024. Join experts and thought leaders to explore cutting-edge developments in ai. Topics: Future of Work Edtech Cybersecurity. Location: Montreal, Canada. Date: 2024-01-24"
e57,Advanced Education Summit 2024,2024-01-27,A premier gathering focused on the latest advancements in finance technologies and innovations.,Data Analytics,DevOps,IoT,"Calgary, Canada","Advanced Education Summit 2024. A premier gathering focused on the latest advancements in finance technologies and innovations. Topics: Data Analytics DevOps IoT. Location: Calgary, Canada. Date: 2024-01-27"
e58,Finance Workshop,2024-03-01,A collaborative platform for professionals to share insights on transforming cybersecurity.,DevOps,Natural Language Processing,Cloud Computing,"Calgary, Canada","Finance Workshop. A collaborative platform for professionals to share insights on transforming cybersecurity. Topics: DevOps Natural Language Processing Cloud Computing. Location: Calgary, Canada. Date: 2024-03-01"
e59,Cybersecurity Summit 2024,2024-11-16,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,Fintech,Edtech,Future of Work,"Ottawa, Canada","Cybersecurity Summit 2024. A premier gathering focused on the latest advancements in blockchain technologies and innovations. Topics: Fintech Edtech Future of Work. Location: Ottawa, Canada. Date: 2024-11-16"
e60,Cybersecurity 2024,2024-01-17,The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape.,NFTs,Healthtech,Edge Computing,"Halifax, Canada","Cybersecurity 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving design landscape. Topics: NFTs Healthtech Edge Computing. Location: Halifax, Canada. Date: 2024-01-17"
e61,Data Science Meetup 2024,2024-04-25,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,UI Design,Edtech,Edge Computing,"Winnipeg, Canada","Data Science Meetup 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape. Topics: UI Design Edtech Edge Computing. Location: Winnipeg, Canada. Date: 2024-04-25"
e62,Advanced Innovation Forum,2024-12-18,The definitive event for anyone looking to stay ahead in the rapidly evolving ai landscape.,Computer Vision,Healthtech,MLOps,"Saskatoon, Canada","Advanced Innovation Forum. The definitive event for anyone looking to stay ahead in the rapidly evolving ai landscape. Topics: Computer Vision Healthtech MLOps. Location: Saskatoon, Canada. Date: 2024-12-18"
e63,AI Workshop,2024-05-08,A premier gathering focused on the latest advancements in marketing technologies and innovations.,Cryptocurrency,Future of Work,Digital Marketing,"Winnipeg, Canada","AI Workshop. A premier gathering focused on the latest advancements in marketing technologies and innovations. Topics: Cryptocurrency Future of Work Digital Marketing. Location: Winnipeg, Canada. Date: 2024-05-08"
e64,Marketing 2024,2024-05-22,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Cloud Computing,Blockchain,Cybersecurity,"Quebec City, Canada","Marketing 2024. Join experts and thought leaders to explore cutting-edge developments in healthcare. Topics: Cloud Computing Blockchain Cybersecurity. Location: Quebec City, Canada. Date: 2024-05-22"
e65,Cybersecurity Forum,2024-12-21,Join experts and thought leaders to explore cutting-edge developments in ai.,Edge Computing,Green Tech,Product Management,"Toronto, Canada","Cybersecurity Forum. Join experts and thought leaders to explore cutting-edge developments in ai. Topics: Edge Computing Green Tech Product Management. Location: Toronto, Canada. Date: 2024-12-21"
e66,Emerging Education Forum 2024,2024-12-02,A collaborative platform for professionals to share insights on transforming marketing.,Natural Language Processing,Web3,UX Design,"Halifax, Canada","Emerging Education Forum 2024. A collaborative platform for professionals to share insights on transforming marketing. Topics: Natural Language Processing Web3 UX Design. Location: Halifax, Canada. Date: 2024-12-02"
e67,Advanced Education Expo 2024,2024-03-08,An exclusive event bringing together industry leaders to discuss the future of design.,DevOps,Ethical AI,Machine Learning,"Halifax, Canada","Advanced Education Expo 2024. An exclusive event bringing together industry leaders to discuss the future of design. Topics: DevOps Ethical AI Machine Learning. Location: Halifax, Canada. Date: 2024-03-08"
e68,Blockchain 2024,2024-07-27,Join experts and thought leaders to explore cutting-edge developments in data science.,Product Management,UX Design,Fintech,"Winnipeg, Canada","Blockchain 2024. Join experts and thought leaders to explore cutting-edge developments in data science. Topics: Product Management UX Design Fintech. Location: Winnipeg, Canada. Date: 2024-07-27"
e69,Education 2024,2024-08-29,A premier gathering focused on the latest advancements in blockchain technologies and innovations.,UX Design,Fintech,Cybersecurity,"Halifax, Canada","Education 2024. A premier gathering focused on the latest advancements in blockchain technologies and innovations. Topics: UX Design Fintech Cybersecurity. Location: Halifax, Canada. Date: 2024-08-29"
e70,Cybersecurity Meetup,2024-05-16,The definitive event for anyone looking to stay ahead in the rapidly evolving education landscape.,Future of Work,Quantum Computing,Cybersecurity,"Halifax, Canada","Cybersecurity Meetup. The definitive event for anyone looking to stay ahead in the rapidly evolving education landscape. Topics: Future of Work Quantum Computing Cybersecurity. Location: Halifax, Canada. Date: 2024-05-16"
e71,Education Hackathon 2024,2024-10-05,A collaborative platform for professionals to share insights on transforming finance.,Computer Vision,MLOps,Future of Work,"Quebec City, Canada","Education Hackathon 2024. A collaborative platform for professionals to share insights on transforming finance. Topics: Computer Vision MLOps Future of Work. Location: Quebec City, Canada. Date: 2024-10-05"
e72,Design 2024,2024-07-16,A premier gathering focused on the latest advancements in tech technologies and innovations.,Edtech,Cloud Computing,Digital Marketing,"Winnipeg, Canada","Design 2024. A premier gathering focused on the latest advancements in tech technologies and innovations. Topics: Edtech Cloud Computing Digital Marketing. Location: Winnipeg, Canada. Date: 2024-07-16"
e73,International Finance Symposium 2024,2024-01-08,A collaborative platform for professionals to share insights on transforming marketing.,IoT,Cybersecurity,5G Technology,"Quebec City, Canada","International Finance Symposium 2024. A collaborative platform for professionals to share insights on transforming marketing. Topics: IoT Cybersecurity 5G Technology. Location: Quebec City, Canada. Date: 2024-01-08"
e74,Innovation Expo,2024-06-11,Join experts and thought leaders to explore cutting-edge developments in ai.,Metaverse,IoT,Healthtech,"Vancouver, Canada","Innovation Expo. Join experts and thought leaders to explore cutting-edge developments in ai. Topics: Metaverse IoT Healthtech. Location: Vancouver, Canada. Date: 2024-06-11"
e75,Annual Education Symposium,2024-11-20,Join experts and thought leaders to explore cutting-edge developments in healthcare.,Digital Transformation,Healthtech,Data Analytics,"Calgary, Canada","Annual Education Symposium. Join experts and thought leaders to explore cutting-edge developments in healthcare. Topics: Digital Transformation Healthtech Data Analytics. Location: Calgary, Canada. Date: 2024-11-20"
e76,Marketing Symposium 2024,2024-09-28,An exclusive event bringing together industry leaders to discuss the future of ai.,Entrepreneurship,Data Analytics,Metaverse,"Winnipeg, Canada","Marketing Symposium 2024. An exclusive event bringing together industry leaders to discuss the future of ai. Topics: Entrepreneurship Data Analytics Metaverse. Location: Winnipeg, Canada. Date: 2024-09-28"
e77,Advanced Education Meetup 2024,2024-11-22,A premier gathering focused on the latest advancements in education technologies and innovations.,Edtech,Quantum Computing,DevOps,"Quebec City, Canada","Advanced Education Meetup 2024. A premier gathering focused on the latest advancements in education technologies and innovations. Topics: Edtech Quantum Computing DevOps. Location: Quebec City, Canada. Date: 2024-11-22"
e78,Education Meetup 2024,2024-12-19,The definitive event for anyone looking to stay ahead in the rapidly evolving finance landscape.,Quantum Computing,UI Design,Deep Learning,"Quebec City, Canada","Education Meetup 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving finance landscape. Topics: Quantum Computing UI Design Deep Learning. Location: Quebec City, Canada. Date: 2024-12-19"
e79,Marketing Conference,2024-05-20,Join experts and thought leaders to explore cutting-edge developments in cybersecurity.,Metaverse,NFTs,Virtual Reality,"Montreal, Canada","Marketing Conference. Join experts and thought leaders to explore cutting-edge developments in cybersecurity. Topics: Metaverse NFTs Virtual Reality. Location: Montreal, Canada. Date: 2024-05-20"
e80,Annual Design Conference,2024-11-17,An exclusive event bringing together industry leaders to discuss the future of tech.,IoT,UI Design,MLOps,"Quebec City, Canada","Annual Design Conference. An exclusive event bringing together industry leaders to discuss the future of tech. Topics: IoT UI Design MLOps. Location: Quebec City, Canada. Date: 2024-11-17"
e81,Data Science Hackathon,2024-03-30,Join experts and thought leaders to explore cutting-edge developments in data science.,Cybersecurity,Edge Computing,Remote Work,"Vancouver, Canada","Data Science Hackathon. Join experts and thought leaders to explore cutting-edge developments in data science. Topics: Cybersecurity Edge Computing Remote Work. Location: Vancouver, Canada. Date: 2024-03-30"
e82,Design Forum,2024-03-13,The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape.,Edge Computing,Remote Work,Digital Transformation,"Ottawa, Canada","Design Forum. The definitive event for anyone looking to stay ahead in the rapidly evolving cybersecurity landscape. Topics: Edge Computing Remote Work Digital Transformation. Location: Ottawa, Canada. Date: 2024-03-13"
e83,Modern Design Hackathon 2024,2024-10-26,The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape.,MLOps,Metaverse,Robotics,"Winnipeg, Canada","Modern Design Hackathon 2024. The definitive event for anyone looking to stay ahead in the rapidly evolving marketing landscape. Topics: MLOps Metaverse Robotics. Location: Winnipeg, Canada. Date: 2024-10-26"
e84,Advanced Design Forum 2024,2024-12-24,A premier gathering focused on the latest advancements in data science technologies and innovations.,Cloud Computing,Augmented Reality,5G Technology,"Montreal, Canada","Advanced Design Forum 2024. A premier gathering focused on the latest advancements in data science technologies and innovations. Topics: Cloud Computing Augmented Reality 5G Technology. Location: Montreal, Canada. Date: 2024-12-24"
e85,Healthcare Forum,2024-07-17,A premier gathering focused on the latest advancements in innovation technologies and innovations.,Entrepreneurship,Fintech,UX Design,"Toronto, Canada","Healthcare Forum. A premier gathering focused on the latest advancements in innovation technologies and innovations. Topics: Entrepreneurship Fintech UX Design. Location: Toronto, Canada. Date: 2024-07-17"
