Gender,Education,Specialization,interests,skills ,Yearly salary in pounds,Certifications,Job_status,Job_title,Highest Qualification
Male,B.Tech,Electrical and Electronics Engineering,"Information Technology,Blockchain","Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2",72,Creating Routing Policies to Handle Website Traffic Using AWS Route53;Kubernetes,Yes,DevOps Engineer,
Male,B.Tech,Computer Science Engineering,Software Job,"Full stack, java, python, reactjs",67,"Full stack, java, python, reactjs",Yes,Software developer,
Male,BE,Mechanical Engineering,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,76,Data science,Yes,Production Engineer,
Male,B.Tech,Computer Science Engineering,Software Job,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",65,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",Yes,Software engineer 1,
Male,B.Tech,Mechanical Engineering,Trading;Data analytics;Govt. Job;Data scientist,Data Visualization skills( Power Bi/ Tableau );Python;SQL,71,No,No,NA,
Male,B.Com,Commerce ,Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,40,Global and digital marketing ,Yes,Sales manager,MBA
Male,B.Sc,Physics,Technology,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",72,QA QC in Plasic Products and Materials,No,Student (Unemployed),
Male,B.Tech,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),46,catia,Yes,Mechanical Design Engineer,
Male,M.Tech,Electronics and Communication Engineering,Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,70,DDIP,Yes,Junior Software Engineer ,Masters in Digital Electronics 
Female,B.Sc,Statistics ,Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,74,Data science using R and Python ,No,NA,Statistics 
Female,B.Tech,Computer Science Engineering,IT field ,"Python, Java, SQL, Programming, Problem Solving skills",77,No,Yes,Mapping ,
Female,B.Sc,Information TechNAlogy,"Research, Technology","Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",53,"C, C++",No,Student (Unemployed),
Male,B.Com,Commerce ,Blockchain,Artistic/Creative Skills,61,No,Yes,NA,
Male,BE,Industrial Engineering ,Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,79,No,Yes,Functional Consultant ,
Male,B.Tech,Mechanical Engineering,Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;Sales,54,"SAP SCM,  supply chain management",Yes,Associate SCM ,
Male,Diploma,High pressure die casting ,Technology,Designing skills,47,Catia,Yes,Engineer,
Male,B.Com,Accounting&Finance,Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,54,No,Yes,Company Secretary,"Company Secretary Professional(
(The Institute of Company Secretaries of India)"
Male,B.Tech,Computer Science Engineering ,Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,63,No,Yes,Programmer Analyst Trainee (PAT),
Female,B.Tech,Computer Science Engineering,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,74,MBA,Yes,Programmer,MBA
Male,B.E,Information Technology,"Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",71,No,Yes,Risk analyst ,Masters in Business Analytics
Female,B.Sc,Computer Science ,Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,57,Data Science,No,NA,Masters in Computer Science
Male,B.Sc,Computer Science ,Digital marketing;Market reserach,Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel,69,No,No,NA,
Male,B.Tech,Mathematics,"Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",60,No,No,Student (Unemployed),Masters in Mathematics
Female,BCA,Computer Applications,Technology,Active Listening;Negotiation skills,57,No,Yes,Data Entry,
Male,B.Tech,Information Technology,Technology,"Java, SQL, Programming",54,No,No,Student (Unemployed),
Male,B.Tech,Electrical and Electronics Engineering,Software Job,stack web development,80,stack web development,Yes,Associate software engineer,
Male,BE,Electrical and Electronics Engineering,All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,59,"IBM machine Learning, Full Stack Development, AMCAT corporate communications",Yes,Data Scientist-Intern,PGDM in Data Science
Male,B.Tech,Computer Science Engineering,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,77,Power BI,Yes,Data Analyst ,
Male,B.Com,Accounting(business and management) ,Financial Analysis;Research;Sales/Marketing;Digital marketing,Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence,74,No,No,NA,
Male,MBA,Sales and Marketing,Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,78,No,Yes,Regional Sales Manager,Masters in Business Administration
Male,B.Tech,Civil Engineering,"Product Life cycle Management,","Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
",77,Digital Marketing,Yes,Product Manager,
Male,B.Tech,Electrical and Electronics Engineering,Technology,"
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control",57,Simulation and analysis of control algorithms for IGBT converters/inverters,Yes,Engineer-Power Electronics,Masters in Power Electronics & Power Systems
Female,B.Sc,Computer science ,Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;SQL,43,"C++, c sharp, fundamentals of project management",Yes,Publishing executive,Master in computer science
Male,B.Tech,Computer Science Engineering ,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,72,No,Yes,Senior software engineer,
Male,B.Tech,Computer Science Engineering,Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,51,No,Yes,Techno commercial,Master in marketing management
Male,BE,Civil Engineering ,Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management,Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management,58,No,No,NA,
Male,Law Hons  ,Statistics,Understand human behaviour,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,50,No,Yes,Advocate ,
Male,B.Tech,Criminal manual,"Research, Sales/Marketing, Technology, Entrepreneurship","Analytic Thinking, Product Knowledge, Team work, Logical Skills",53,No,Yes,Sales Executive,
Male,B.Tech,Mechanical Engineering,Research;Technology;Supply Chain Analysis;Govt. Job,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;Social Media Marketing;Presentation Skills;Hospitality;HR;Client management,73,No,No,NA,
Male,B.Tech,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,52,No,Yes,Electrician,
Male,BE,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,61,No,No,Assistant Professor,M.Tech-Heat Power Engineering and PhD-Mechanical Engineering 
Male,B.Tech,Mechanical Engineering,Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,75,PMP,Yes,Project Manager,
Male,B.Tech,Electrical and Electronics Engineering,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,50,Data science using python and R programming ,Yes,Mechanical design engineer ,Master in Design (Mechanical)&professional Data science 
Male,B.Tech,Mechanical engineering ,"Trading,Web Designing,Content Writing,Web development,Social media marketing",C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,49,C++,Yes,System Engineer,Masters in Computer Science 
Female,B.Com,Computer Science Engineering,Financial Analysis,Accounting Skills,49,No,No,Student (Unemployed),Masters in Accounting
Male,B.E,Accountancy,Entrepreneurship,"Active Listening, Python, Gathering Informing, Programming",55,Organic farming,Yes,Mechanical Engineer,Masters in Science
Female,Law Hons,Agriculture,"Financial Analysis;Social causes;Information Technology;Agriculture, services;Excel",Accounting Skills;Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,52,Company Secretary,Yes,CS,
Female,B.Tech,Company law,Data Analytics,"JavaScript,Python",69,"JavaScript,Python",Yes,Software Developer,
Female,B.Sc,Electrical and Electronics Engineering,Research,Subject Knowledge,48,PGDCA,No,NA,
Female,B.Tech,Physics,Data Analytics,Javascript,77,Javascript,Yes,Associate Software Engineer,
Female,B.Tech,Computer Science Engineering,Technology,Python,74,No,No,Student (Unemployed),
Female,B.Tech,Computer Applications,Technology;Information Technology ,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;Cloud Computing,58,No,Yes,Software Engineer,"Yes, Master's in IT, specialisation in networking and cyber security "
Female,B.Com,Computer Science Engineering,Financial Analysis,"
Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;Indirect Taxation",80,Companies Act;Indirect Taxation,Yes,Company Secretary,"Company Secretary Professional(
(The Institute of Company Secretaries of India)"
Male,B.Tech,Accounting&Finance,Teaching;Technology;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Design;Machine Learning;Navy Defence related;Oil and Gas,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Problem Solving skills;Python;Teaching,62,Professional Certification Program - Data Science and AI ,Yes,Operation & Maintenance Engineer ,
Male,BBA,Electrical Machines,Financial Analysis,Financial Modeling;Financial Analysis;,62,Financial Modelling,Yes,Financial Analyst,
Male,B.Tech,Finance,"Research,Understand human body,BioTechnology","
Microbiology; cell culture ;molecular Biology; bioprocess;
Katte virus",48,"Antimicrobial Resistance - Theory and Methods ;  Cancer Metastasis; 
Fundamentals of Immunology: T Cells and Signaling;
Fundamentals of Immunology: Innate Immunity and B-Cell Function;
Drug Discovery;Drug Delivery Principles and Engineering ",Yes,Research Associate,
Male,B.E,Biotechnology,Data Analytics,"Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting",44,Six Sigma Principles ,Yes,Data Analyst,
Prefer not to say,B.Com,Automobile Engineering,Information Technology,Cloud Computing,45,Azure,Yes,Trainee Developer,
Female,B.Com,Accountancy,Sales/Marketing,Accounting Skills,64,No,No,Student (Unemployed),Masters in Accounting
Male,B.Tech,Data Structures & Algorithm,Technology,Gathering Informing,63,No,No,Student (Unemployed),
Female,Biotechnology,Biotechnology,"Research, Technology, Entrepreneurship, Understand Human Body","Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",76,No,No,Student (Unemployed),Masters in Biotechnology
Female,B.Com,Commerce,Entrepreneurship,"Accounting Skills, Cost Accounting, Excel, Writing",50,No,No,Student (Unemployed),Masters in Accounting
Male,B.Com,Commerce,Take risk for Profits,Accounting Skills,42,Yes,No,Business Analyst,Masters in Accounting
Male,B.M.S,ManagementÃŠ,Sales/Marketing,"Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Excel, Writing, Reading, Sales",54,No,Yes,Sr. Territory sales manager ,
Male,B.Tech,Computer Science Engineering,Machine Learning,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,46,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,Yes,Full Stack Developer,
Male,BALLB,Law,Social Justice;Social causes,Civil & Criminal Law,62,Certified Fraud Examiner (CFE),Yes,Lawyer-Forensic Investigations,
Female,B.Sc,Zoology,Understand human body;Data analytics;Data scientist,Programming Language skills;Artistic/Creative Skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python,67,Certification course in data science by CareerEX,No,NA,
Male,B.Tech,Mechanical Engineering,Supply Chain Analysis;Content Writing;Data analytics,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,71,No,Yes,Assistent Manger,Assistent Manger
Female,B.Sc,Computer Science Engineering,"Understand Human Behaviour, Understand Human Body","Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills",70,No,No,Student (Unemployed),Masters in Computer Applications
Female,BE,Electronics and Communication Engineering,Data analytics,Data Visualization skills( Power Bi/ Tableau );R;Python;SQL;MATLAB,49,Data science and tableau certification,No,NA,
Male,Law Hons,constitution,Social Justice,Civil & Criminal Law,75,No,Yes,litigation,
Male,B.Tech,Civil Engineering,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",66,STAAD-Pro,Yes,Civil & Structural Engineer,
Female,BCA,"Principal of programming language with C, MS Office Management Tools, Computer Organization, Mathematics, English.",Web Designing;Data analytics;Web development;Information Technology,Active Listening;Programming Language skills;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Problem Solving skills;Writing skills;Programming Language C,62,No,No,NA,
Female,MCA,Computer science ,Research;Technology;Data analytics;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;C++;Java,65,Machine learning,No,NA,Masters In computer application 
Female,B.Sc,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",51,No,Yes,Student (Unemployed),Masters in Science
Male,B.Tech,Electrical and Electronics Engineering,"Sales/Marketing, Take risk for Profits, Teaching, Entrepreneurship","ML, SQL, Leadership, Writing, Tableau",54,Data science,No,Student (Unemployed),
Male,B.Sc,Computer Science Engineering,Technology;Data analytics,Active Listening;Programming Language skills;Communication skills;Machine Learning skills;Python,44,Data Science using Python and R Programming Languages,No,NA,Masters in Science
Male,B.Com,Taxation,Financial Analysis;News Coverage;Social Justice;Teaching;Technology;Trading;Understand human behaviour,Accounting Skills;Hardware skills;Critical Thinking;Business Knowledge;Finance related skills;Civil & Criminal Law;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;SQL,54,"Tally ERP9, SAP",No,NA,
Male,B.Com,Taxation,Financial Analysis;News Coverage;Social Justice;Teaching;Technology;Trading;Govt. Job;Data scientist;Social causes,Accounting Skills;Hardware skills;Critical Thinking;Business Knowledge;Finance related skills;Civil & Criminal Law;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL;Good communication skills;Teaching,42,"Tally ERP9, SAP",No,NA,
